run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220530-23:02:06-80287,runattr,,,configname,General,,
General-0-20220530-23:02:06-80287,runattr,,,datetime,20220530-23:02:06,,
General-0-20220530-23:02:06-80287,runattr,,,datetimef,20220530-230206,,
General-0-20220530-23:02:06-80287,runattr,,,experiment,General,,
General-0-20220530-23:02:06-80287,runattr,,,inifile,omnetpp.ini,,
General-0-20220530-23:02:06-80287,runattr,,,iterationvars,,,
General-0-20220530-23:02:06-80287,runattr,,,iterationvarsd,,,
General-0-20220530-23:02:06-80287,runattr,,,iterationvarsf,,,
General-0-20220530-23:02:06-80287,runattr,,,measurement,,,
General-0-20220530-23:02:06-80287,runattr,,,network,Network,,
General-0-20220530-23:02:06-80287,runattr,,,processid,80287,,
General-0-20220530-23:02:06-80287,runattr,,,repetition,0,,
General-0-20220530-23:02:06-80287,runattr,,,replication,#0,,
General-0-20220530-23:02:06-80287,runattr,,,resultdir,results,,
General-0-20220530-23:02:06-80287,runattr,,,runnumber,0,,
General-0-20220530-23:02:06-80287,runattr,,,seedset,0,,
General-0-20220530-23:02:06-80287,config,,,network,Network,,
General-0-20220530-23:02:06-80287,config,,,sim-time-limit,200s,,
General-0-20220530-23:02:06-80287,config,,,Network.nodeTx.gen.generationInterval,exponential(0.4),,
General-0-20220530-23:02:06-80287,config,,,Network.**.serviceTime,exponential(0.001),,
General-0-20220530-23:02:06-80287,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20220530-23:02:06-80287,config,,,Network.queue.bufferSize,200,,
General-0-20220530-23:02:06-80287,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20220530-23:02:06-80287,config,,,Network.nodeTx.queue.bufferSize,2000000,,
General-0-20220530-23:02:06-80287,vector,Network.nodeTx.queue,,,,"0.318349801826 0.67777395722 1.180146260439 1.923987945269 2.293277197857 3.073895332211 3.388775788204 4.140361409885 4.360780804553 4.75158337511 5.166847095376 5.360898360865 5.591106039618 5.732369695273 6.621779464088 6.645133331725 7.971098243696 8.098440700033 8.291881542012 8.551660081312 9.179218528361 9.848103008491 10.149172653816 10.410725680704 10.746498821864 10.94604762547 11.98534925981 12.70869696552 12.738171107706 12.902802306203 12.939266716653 13.357111719976 13.365281955336 13.548981210238 14.263976275613 15.524044247083 16.126357950538 16.186850292004 17.002975995181 17.819332881546 19.357421629203 19.614105298274 20.256201121099 20.901801951056 21.149373734907 21.443359503383 22.049973892979 22.504349469663 22.554699233438 23.064790314327 23.473363064067 23.822291542084 23.884183414284 24.192517277671 25.350285468866 25.918831340903 26.213962257605 26.258740721858 26.472967009949 26.729644890761 26.852557031622 26.935038344434 27.530340274735 28.064456348585 28.308089317858 28.405708714153 28.741842596398 28.799953807315 28.807541234995 28.964249559266 29.348801934892 29.41365653067 29.79245520154 29.89303197437 30.276851165317 30.47227398504 31.623439993551 32.555005343237 33.013060925117 33.252159355844 33.430366753864 33.810164587263 34.039977549959 34.970517974637 35.44896109442 35.49078558473 35.515631700917 36.915717174699 37.355282161719 37.778815814314 38.223054792589 38.298025218996 38.392507901429 38.569869512877 38.625080988248 39.180698064164 39.332282849877 39.706707473786 39.887548297876 40.044793320798 40.382564438209 40.398237700774 40.629167425097 41.031515827164 42.813314565634 44.090493222455 44.133547265717 44.556677831058 44.650398438568 45.053606136736 45.123971554906 47.268011695003 47.691508781041 48.040275122491 48.157107335798 48.371133206631 48.622309839027 48.879822239668 48.99193304306 49.382678672688 49.451929655146 49.616930147115 49.663712311032 50.112979631645 50.540208510505 50.692830847855 50.752315755556 51.354969888865 51.442522127468 52.637398084209 52.821403667305 53.255911419656 53.944044082743 53.949509914115 53.990367866725 54.380408640388 55.108336208102 55.556261954404 55.596675864528 57.026111213466 58.5257237973 59.367852317617 59.620786956175 59.905820393508 61.41059130731 61.43352207788 61.804913476641 62.044892231297 62.582590340158 62.590666391416 62.606656911039 62.839808266586 62.972772362971 64.529400412109 64.580623118233 64.758790903001 64.899261338754 65.161519852499 65.212075307069 65.678824717688 65.831905097233 66.681599976034 66.895553726337 67.897118439571 67.923637400164 68.021395579397 68.493071390223 68.826208796649 69.160647809437 69.96194401844 70.085309954479 70.369809129366 70.666112709545 71.660345652336 71.699805775703 72.715927578886 73.059085835316 73.093794028252 74.153496399723 74.283632565935 74.437056651574 74.44081695184 74.881155315876 75.620086376277 75.676618661701 76.093330923373 76.597304447417 77.333817436012 77.470479102822 77.593486192327 77.674426367754 77.877306417057 78.230558033841 78.552476993762 78.56060197728 78.632702878074 79.338999307039 79.523691665457 79.525574281654 79.588910884146 80.041964540935 80.379197753794 80.505086418136 80.991689879511 81.523193029011 81.659331724305 82.969388995391 83.196550656783 83.310959045786 83.875368809504 84.218725996636 84.420463519271 84.779099867585 85.684593297929 86.024281622555 86.431745114563 86.532713111719 87.421315871109 88.642228533863 89.098071719276 89.335121330257 89.573673087989 90.323057039932 91.860259673229 92.341155100128 92.390565759073 92.531773812383 93.114501235809 93.786870117627 93.999159116274 94.201166615376 94.651279422113 95.50307918054 95.618043370968 95.966257701499 96.116553238462 96.970485418455 98.316233599675 98.787986773133 99.143131337308 99.659895044828 100.091028998483 100.369348782843 100.674095891361 101.924283234424 102.029106131094 102.442224935352 102.643149254656 102.86370765071 103.249489076908 103.622450229071 103.8800921124 103.887844024939 104.141895111191 104.285465997539 104.789083404445 105.220811483907 105.35667737694 105.493717226819 105.687171501455 106.072121523763 106.625313206378 106.849297634408 107.692276676388 107.750506267767 107.793925107165 107.935614760063 107.974383861894 108.31193925093 108.48675045644 108.844242087762 109.165262882065 109.506894776322 109.520576143665 109.944179897817 111.33319408953 111.755533932994 111.910385969854 112.136230170302 112.236262768293 113.14371636537 113.204633815472 113.387902969055 113.428831214996 113.657815835567 115.312939739771 116.202905602661 116.32353196795 116.979890999121 117.28792174294 117.774729541075 118.012358940405 118.054603997857 118.096556732097 119.10426958413 119.278007846508 119.779050856473 120.032435903562 122.738592111537 123.474485225568 123.539233260253 124.479304176153 125.289667702994 125.304980868148 125.375911098206 125.659878269096 126.042264838665 126.115280279418 126.168153763264 126.772083145508 127.525654700142 128.326449298352 128.985136938883 129.197138090138 129.533890474831 129.594206878909 129.803354890944 129.816869605165 129.84553975889 131.465478494412 131.943653920925 132.130562947489 132.372282576228 132.590225427486 133.102359109011 133.123124129884 133.928233224366 134.110197962283 135.594182199045 135.600889305442 136.375520200438 136.480451924104 136.485165216871 137.064282849666 137.242783977874 138.396628678715 138.920348024324 139.474864565132 139.55018255522 139.716027572284 140.010480012279 140.279464219012 140.301812240167 140.467403809236 140.556659492476 140.63579129546 140.643269483628 140.718277064109 141.349642152951 141.598681090542 141.700083372599 142.530495796776 142.699958637319 143.853776352682 144.906663897702 145.281519384791 145.769038106128 146.132223717058 146.145166438916 146.757498929423 146.829481866044 147.106761773859 147.495354637097 147.516027799415 147.860397254087 148.340785616704 148.449452844841 150.401106000038 151.489645302403 151.614032424391 151.994764307408 152.449402905511 152.75623476734 153.555103554336 153.9116549851 154.46752581061 154.991439959155 156.326613692697 156.476168291058 156.799360312418 157.002506361493 157.098007510632 157.192217339999 157.292856785244 157.375269604637 157.474013312157 158.629643548917 158.966835059083 159.504974032377 159.745645626987 160.015343454841 161.421134927056 161.524340032632 161.980795193776 162.098198254545 162.133859970543 162.157772355709 162.181001300555 162.408960326678 162.676605816154 162.826073733912 163.677541771725 164.154285013187 165.652962858717 165.84272937485 166.227305203478 166.306492297612 166.619282585962 166.629277927287 167.400621982039 167.428469050468 167.97324174019 168.428257142406 168.688749435173 168.930581922507 169.382724140871 169.69037206131 170.063996194352 170.971932200666 171.473613508702 173.329474519251 173.583046527009 173.680842935826 173.924376101321 174.359537874767 175.307105143102 175.429347103828 175.488385516984 175.496732404428 175.600872969047 176.169026351281 177.022451666271 177.176726743889 178.115864248461 178.309319603457 178.724459633653 179.079460405046 179.236489616321 179.947746951055 180.241094020322 180.637695737481 180.637717878239 181.462046374591 181.611551692118 181.739381554067 181.961049885686 182.600937662422 183.467243134772 183.549382242266 184.005005302535 185.226279170372 185.469897015456 185.935142328826 186.199343560726 186.296430958195 186.918296133319 188.096088244288 188.200344296039 188.725347493225 189.574446154802 189.691626738197 189.842198478806 189.938167886581 191.201006103147 191.493097169243 191.74837261148 191.758771709557 192.256112020736 192.34912202809 192.415871884583 192.637007232844 193.161396180108 193.348866770499 193.764549025132 194.013680749038 194.110448606946 194.240535014137 194.323078211579 194.676592473992 195.335822943256 196.133438623767 196.683310605288 196.733323641257 197.182707841076 197.47411737817 197.603797023565 197.660453837483 197.73735841382 198.242083483215 198.729683221288 198.931395194589 199.180209962221 199.513561258479","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
